,,0,,1,,2,,3,,4,,5
,"t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C"
,190.5,45.419,190.5,43.658,190.5,52.635,190.5,41.105,190.5,45.196,190.5,38.909
,193.5,45.168,193.5,43.368,193.5,52.305,193.5,40.842,193.5,44.895,193.5,38.706
,196.5,44.921,196.5,43.105,196.5,51.976,196.5,40.632,196.5,44.579,196.5,38.477
,199.5,44.763,199.5,42.868,199.5,51.647,199.5,40.395,199.5,44.184,199.5,38.223
,202.5,44.737,202.5,42.605,202.5,51.317,202.5,40.184,202.5,43.395,202.5,37.716
,205.5,45.698,205.5,42.368,205.5,50.988,205.5,39.949,205.5,42.237,205.5,36.802
,208.5,48.799,208.5,42.079,208.5,50.659,208.5,39.746,208.5,40.921,208.5,35.711
,211.5,49.274,211.5,41.816,211.5,50.359,211.5,39.543,211.5,39.619,211.5,34.575
,214.5,49.944,214.5,41.553,214.5,50.03,214.5,39.366,214.5,38.426,214.5,33.525
,217.5,50.479,217.5,41.316,217.5,49.721,217.5,39.162,217.5,37.284,217.5,32.575
,220.5,50.808,220.5,41.079,220.5,49.469,220.5,38.959,220.5,36.244,220.5,31.7
,223.5,51.048,223.5,40.842,223.5,49.19,223.5,38.782,223.5,35.279,223.5,30.925
,226.5,51.198,226.5,40.632,226.5,48.883,226.5,38.579,226.5,34.4,226.5,30.25
,229.5,51.317,229.5,40.342,229.5,48.575,229.5,38.401,229.5,33.6,229.5,29.575
,232.5,51.407,232.5,40.105,232.5,48.324,232.5,38.198,232.5,32.825,232.5,29
,235.5,51.467,235.5,39.848,235.5,48.017,235.5,38.02,235.5,32.125,235.5,28.45
,238.5,51.527,238.5,39.619,238.5,47.737,238.5,37.868,238.5,31.45,238.5,27.95
,241.5,51.527,241.5,39.391,241.5,47.458,241.5,37.665,241.5,30.825,241.5,27.5
,244.5,51.557,244.5,39.188,244.5,47.179,244.5,37.513,244.5,30.25,244.5,27.05
,247.5,51.527,247.5,38.959,247.5,46.899,247.5,37.36,247.5,29.7,247.5,26.65
,250.5,51.527,250.5,38.756,250.5,46.62,250.5,37.183,250.5,29.15,250.5,26.275
,253.5,51.467,253.5,38.579,253.5,46.341,253.5,37.031,253.5,28.7,253.5,25.925
