 ------------------------------------
 #p opt b3lyp/6-31g geom=connectivity
 ------------------------------------

 -------------------
 Title Card Required
 -------------------

                         Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
    129          6           0       -9.724198   -6.501286   -0.040627
    130          6           0      -10.982972   -5.903793   -0.046049
    131          1           0      -11.872762   -6.525667   -0.040827
    132          1           0       -7.198768    7.313639   -0.159909
    133          1           0       -8.253956    4.907156   -0.139245
    134          1           0       -9.182556    2.553139   -0.119015
    135          1           0      -10.049299    0.366772   -0.100226
    136          1           0      -11.029223   -1.812177   -0.081526
    137          1           0      -12.093122   -4.052374   -0.062310
    138          1           0       -9.626135   -7.581885   -0.031241
    139          8           0       -0.247112    0.419814    1.505492
    140          8           0       -0.003656    3.551872    1.981549
    141          3           0        1.274417    2.960804    2.526770
 ---------------------------------------------------------------------

 GradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGrad

 GradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGrad

                         Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        4.981266   -3.233914   -0.030998
      2          6           0        3.705935   -3.859466   -0.039344
      3          6           0        2.490073   -3.091663   -0.022701
      4          6           0        2.521444   -1.620026    0.053141
      5          6           0        3.883373   -0.964283    0.010980
      6          6           0        5.064205   -1.783752   -0.022266
      7          6           0        1.252745   -3.817308   -0.041145
      8          6           0        0.007999   -1.766830    0.058798
      9          6           0       -0.001641   -3.155333   -0.034017
     10          6           0       -1.261902   -3.812574   -0.047990
     11          6           0       -2.500582   -3.083551   -0.032518
     12          6           0       -2.530323   -1.610903    0.019181
     13          6           0       -1.220514   -1.002887    0.105631
     14          6           0        1.225710   -1.015621    0.162509
     15          6           0        0.775100    0.377926    0.569956
     16          6           0       -0.768808    0.378157    0.272936
     17          6           0        4.096782    0.494870   -0.057790
     18          6           0        1.597065    1.502576    0.085377
     19          6           0        3.073420    1.459842   -0.089630
     20          6           0       -3.888156   -0.955116   -0.003526
     21          6           0       -1.615554    1.500801    0.189872
     22          6           0       -3.095739    1.476450    0.038448
     23          6           0        3.455087    2.827317   -0.222476
     24          6           0        1.212519    2.835741    0.056322
     25          6           0       -1.230132    2.860504    0.218660
     26          6           0       -3.466263    2.840197   -0.028296
     27          6           0        2.349064    3.644962   -0.158067
     28          6           0       -2.359744    3.655673    0.059403
     29          6           0        0.019283    3.558915    0.527936
     30          6           0        2.418240    5.023759   -0.137699
     31          6           0        0.004670    5.056200    0.087571
     32          6           0       -2.419076    5.038836   -0.017624
