
                         Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
    131          1           0      -11.863306   -6.535450   -0.046717
    132          1           0       -7.204995    7.309109   -0.169704
    133          1           0       -8.257457    4.901438   -0.148310
    134          1           0       -9.183388    2.546377   -0.127390
    135          1           0      -10.047654    0.359035   -0.107958
    136          1           0      -11.025109   -1.821017   -0.088594
    137          1           0      -12.086468   -4.062412   -0.068686
    138          1           0       -9.615485   -7.589123   -0.037354
    139          8           0        0.000147    0.387897    1.838377
    140          8           0        0.000142    3.614971    2.010906
    141          3           0        0.000001    2.020531    2.742549
 ---------------------------------------------------------------------
