                         Standard orientation:
---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
      122          6           0        -10.0504535   -2.285734   -0.0842055
      123          6           0        -8.6479385   -4.27586   -0.064638
      124          6           0        -7.256759   -6.2700655   -0.0489665
      125          6           0        -8.5415055   -5.710607   -0.053982
      126          6           0        -9.960614   -3.68549   -0.071895
      127          1           0        -7.145625   -7.3503305   -0.0394545
      128          6           0        -11.110774   -4.520913   -0.0646765
      129          6           0        -9.7214555   -6.505374   -0.0471235
      130          6           0        -10.980723   -5.9089195   -0.052484
      131          1           0        -11.8699985   -6.531527   -0.047106
      132          1           0        -7.2074305   7.311615   -0.1681405
      133          1           0        -8.2606325   4.904265   -0.1471115
      134          1           0        -9.187288   2.5494855   -0.1265365
      135          1           0        -10.0522265   0.362407   -0.107426
      136          1           0        -11.0303515   -1.817347   -0.088394
      137          1           0        -12.0924   -4.0584185   -0.068832
      138          1           0        -9.6225015   -7.5858905   -0.0376315
      139          8           0        0.346748   0.3993285   1.9203865
      140          8           0        -0.0063325   3.5855265   1.9928935
      141          3           0        0.2302855   2.014297   2.7456245
